houseID,title,link,community,years,housetype,square,direction,floor,status,source,totalPrice,unitPrice,detail_room_structure,detail_floor,detail_building_area,detail_flat,detail_usable_area,detail_building_type,detail_facing,detail_building_age,detail_decorate,detail_building_structure,detail_heating,detail_elevator2residents,detail_property_limit,detail_elevator,detail_lianjiaid,detail_market_identity,detail_first_online,detail_usage,detail_limit,detail_belonging,dealdate,updatedate
101105525147,"安外西河沿 1室1厅 39.23平米",https://bj.lianjia.com/chengjiao/101105525147.html,"安外西河沿","1983年建板楼","1室1厅","39.23平米","南","中楼层(共11层)","其他","",410-421,104512-107061,"1室1厅1厨1卫","中楼层(共11层)","39.23㎡","平层","暂无数据","板楼","南",1983,"其他","钢混结构","集中供暖","一梯十户","70年","有",101105525147,"已购公房",2019-08-20,"普通住宅","暂无数据","暂无数据",2019-09,"2019-11-08 16:41:10.115430"
101103003751,"安外西河沿 2室1厅 55平米",https://bj.lianjia.com/chengjiao/101103003751.html,"安外西河沿","1983年建板楼","2室1厅","55平米","南","中楼层(共11层)","其他","",518-573,94137-104046,"2室1厅1厨1卫","中楼层(共11层)","55㎡","平层","暂无数据","板楼","南",1983,"其他","钢混结构","集中供暖","一梯五户","70年","有",101103003751,"已购公房",2018-06-22,"普通住宅","暂无数据","非共有",2018-06,"2019-11-08 16:41:10.115850"
101103200763,"安外西河沿 3室1厅 72.02平米",https://bj.lianjia.com/chengjiao/101103200763.html,"安外西河沿","1983年建板楼","3室1厅","72.02平米","南 北","高楼层(共12层)","简装","",670,93030,"3室1厅1厨1卫","高楼层(共12层)","72.02㎡","平层","暂无数据","板楼","南 北",1983,"简装","钢混结构","集中供暖","一梯十五户","70年","有",101103200763,"已购公房",2018-08-14,"普通住宅","满五年","非共有",2018-08-21,"2019-11-08 16:41:10.116115"
101102297788,"安外西河沿 2室1厅 69.85平米",https://bj.lianjia.com/chengjiao/101102297788.html,"安外西河沿","1983年建板楼","2室1厅","69.85平米","西南","中楼层(共11层)","精装","",688,98497,"2室1厅1厨1卫","中楼层(共11层)","69.85㎡","平层","暂无数据","板楼","西南",1983,"精装","钢混结构","集中供暖","一梯十五户","70年","有",101102297788,"私产",2017-11-12,"普通住宅","满五年","非共有",2018-06-30,"2019-11-08 16:41:10.116351"
101102988645,"安外西河沿 3室1厅 65.29平米",https://bj.lianjia.com/chengjiao/101102988645.html,"安外西河沿","1985年建板楼","3室1厅","65.29平米","南 北","顶层(共6层)","精装","",573,87763,"3室1厅1厨1卫","顶层(共6层)","65.29㎡","暂无数据","60㎡","板楼","南 北",1985,"精装","混合结构","集中供暖","一梯三户","70年","无",101102988645,"已购公房",2018-06-17,"普通住宅","暂无数据","共有",2018-10-11,"2019-11-08 16:41:10.118915"
101104939681,"安外西河沿 2室1厅 54.27平米",https://bj.lianjia.com/chengjiao/101104939681.html,"安外西河沿","1983年建板楼","2室1厅","54.27平米","北 南","低楼层(共6层)","精装","",535,98582,"2室1厅1厨1卫","低楼层(共6层)","54.27㎡","平层","暂无数据","板楼","北 南",1983,"精装","混合结构","集中供暖","一梯两户","70年","无",101104939681,"商品房",2019-06-13,"普通住宅","暂无数据","非共有",2019-06-15,"2019-11-08 16:41:10.119177"
101103874993,"安外西河沿 2室1厅 65.29平米",https://bj.lianjia.com/chengjiao/101103874993.html,"安外西河沿","1985年建板楼","2室1厅","65.29平米","南 西 北","中楼层(共6层)","精装","",605,92664,"2室1厅1厨1卫","中楼层(共6层)","65.29㎡","平层","暂无数据","板楼","南 西 北",1985,"精装","混合结构","集中供暖","一梯三户","70年","无",101103874993,"已购公房",2018-12-19,"普通住宅","满五年","非共有",2019-01-19,"2019-11-08 16:41:10.119404"
101103665449,"安外西河沿 2室1厅 59.92平米",https://bj.lianjia.com/chengjiao/101103665449.html,"安外西河沿","1983年建板楼","2室1厅","59.92平米","南","中楼层(共6层)","简装","",466-515,77687-85865,"2室1厅1厨1卫","中楼层(共6层)","59.92㎡","暂无数据","50㎡","板楼","南",1983,"简装","混合结构","集中供暖","一梯六户","70年","无",101103665449,"已购公房",2018-11-07,"普通住宅","满五年","非共有",2018-11,"2019-11-08 16:41:10.124456"
101104071171,"安外西河沿 2室1厅 56.16平米",https://bj.lianjia.com/chengjiao/101104071171.html,"安外西河沿","1985年建板楼","2室1厅","56.16平米","南 北","低楼层(共6层)","简装","",540,96154,"2室1厅1厨1卫","低楼层(共6层)","56.16㎡","暂无数据","45㎡","板楼","南 北",1985,"简装","混合结构","集中供暖","一梯三户","70年","无",101104071171,"已购公房",2019-02-15,"普通住宅","满五年","非共有",2019-03-18,"2019-11-08 16:41:10.124700"
101102764374,"安外西河沿 2室1厅 50.45平米",https://bj.lianjia.com/chengjiao/101102764374.html,"安外西河沿","1983年建板楼","2室1厅","50.45平米","西南","顶层(共11层)","简装","",442-489,87562-96779,"2室1厅1厨1卫","顶层(共11层)","50.45㎡","平层","暂无数据","板楼","西南",1983,"简装","钢混结构","集中供暖","一梯十五户","70年","有",101102764374,"已购公房",2018-04-12,"普通住宅","满五年","非共有",2018-05,"2019-11-08 16:41:10.124931"
101103313057,"安外西河沿 2室1厅 54.17平米",https://bj.lianjia.com/chengjiao/101103313057.html,"安外西河沿","1983年建板楼","2室1厅","54.17平米","东","中楼层(共11层)","简装","",490,90456,"2室1厅1厨1卫","中楼层(共11层)","54.17㎡","平层","暂无数据","板楼","东",1983,"简装","钢混结构","集中供暖","一梯五户","70年","有",101103313057,"已购公房",2018-09-10,"普通住宅","暂无数据","非共有",2018-10-09,"2019-11-08 16:41:10.125165"
101103549572,"安外西河沿 2室1厅 69.83平米",https://bj.lianjia.com/chengjiao/101103549572.html,"安外西河沿","1983年建板楼","2室1厅","69.83平米","东北","高楼层(共11层)","精装","",580,83059,"2室1厅1厨1卫","高楼层(共11层)","69.83㎡","平层","暂无数据","板楼","东北",1983,"精装","钢混结构","集中供暖","一梯五户","70年","有",101103549572,"商品房",2018-10-18,"普通住宅","满五年","非共有",2019-01-15,"2019-11-08 16:41:10.125498"
101103290913,"安外西河沿 1室1厅 38.83平米",https://bj.lianjia.com/chengjiao/101103290913.html,"安外西河沿","1983年建板楼","1室1厅","38.83平米","东","中楼层(共11层)","其他","",370,95288,"1室1厅1厨1卫","中楼层(共11层)","38.83㎡","平层","暂无数据","板楼","东",1983,"其他","钢混结构","集中供暖","一梯五户","70年","有",101103290913,"商品房",2018-09-05,"普通住宅","暂无数据","非共有",2018-09-07,"2019-11-08 16:41:10.125732"
101101949149,"安外西河沿 2室1厅 63.02平米",https://bj.lianjia.com/chengjiao/101101949149.html,"安外西河沿","1983年建板楼","2室1厅","63.02平米","南 北","中楼层(共12层)","简装","",548,86957,"2室1厅1厨1卫","中楼层(共12层)","63.02㎡","平层","暂无数据","板楼","南 北",1983,"简装","钢混结构","集中供暖","一梯十五户","70年","有",101101949149,"商品房",2017-08-14,"普通住宅","满五年","非共有",2018-03-04,"2019-11-08 16:41:10.125951"
101103473404,"安外西河沿 2室1厅 53.78平米",https://bj.lianjia.com/chengjiao/101103473404.html,"安外西河沿","1983年建板楼","2室1厅","53.78平米","东北","顶层(共11层)","精装","",485,90183,"2室1厅1厨1卫","顶层(共11层)","53.78㎡","平层","暂无数据","板楼","东北",1983,"精装","钢混结构","集中供暖","一梯五户","70年","有",101103473404,"商品房",2018-10-06,"普通住宅","满两年","共有",2018-10-14,"2019-11-08 16:41:10.126190"
101102438674,"安外西河沿 1室1厅 38.92平米",https://bj.lianjia.com/chengjiao/101102438674.html,"安外西河沿","1983年建板楼","1室1厅","38.92平米","南","中楼层(共11层)","简装","",421,108171,"1室1厅1厨1卫","中楼层(共11层)","38.92㎡","平层","暂无数据","板楼","南",1983,"简装","钢混结构","集中供暖","一梯十五户","70年","有",101102438674,"商品房",2017-12-27,"普通住宅","满两年","非共有",2019-05-31,"2019-11-08 16:41:10.126420"
101101617222,"安外西河沿 2室1厅 55.11平米",https://bj.lianjia.com/chengjiao/101101617222.html,"安外西河沿","1983年建板楼","2室1厅","55.11平米","东","中楼层(共11层)","简装","",420-465,76194-84214,"2室1厅1厨1卫","中楼层(共11层)","55.11㎡","平层","暂无数据","板楼","东",1983,"简装","钢混结构","集中供暖","一梯十户","70年","有",101101617222,"商品房",2017-05-24,"普通住宅","暂无数据","非共有",2018-01,"2019-11-08 16:41:10.126644"
101102312319,"安外西河沿 1室1厅 49.06平米",https://bj.lianjia.com/chengjiao/101102312319.html,"安外西河沿","1983年建板楼","1室1厅","49.06平米","南","低楼层(共6层)","简装","",399,81329,"1室1厅1厨1卫","低楼层(共6层)","49.06㎡","平层","49.06㎡","板楼","南",1983,"简装","混合结构","集中供暖","一梯六户","70年","无",101102312319,"商品房",2017-11-16,"普通住宅","满五年","非共有",2018-02-23,"2019-11-08 16:41:10.126955"
101102052898,"安外西河沿 1室1厅 38.59平米",https://bj.lianjia.com/chengjiao/101102052898.html,"安外西河沿","1983年建板楼","1室1厅","38.59平米","南","中楼层(共12层)","其他","",370,95880,"1室1厅1厨1卫","中楼层(共12层)","38.59㎡","平层","26.42㎡","板楼","南",1983,"其他","钢混结构","集中供暖","一梯十五户","70年","有",101102052898,"商品房",2017-09-08,"普通住宅","暂无数据","非共有",2017-10-30,"2019-11-08 16:41:10.127174"
101102344988,"安外西河沿 2室1厅 59.16平米",https://bj.lianjia.com/chengjiao/101102344988.html,"安外西河沿","1983年建板楼","2室1厅","59.16平米","南","高楼层(共12层)","简装","",530,89588,"2室1厅1厨1卫","高楼层(共12层)","59.16㎡","平层","59㎡","板楼","南",1983,"简装","钢混结构","集中供暖","一梯十五户","70年","有",101102344988,"商品房",2017-11-27,"普通住宅","暂无数据","非共有",2018-03-11,"2019-11-08 16:41:10.127421"
101102718513,"安外西河沿 3室1厅 75.96平米",https://bj.lianjia.com/chengjiao/101102718513.html,"安外西河沿","1983年建板楼","3室1厅","75.96平米","东南","顶层(共11层)","其他","",657,86493,"3室1厅1厨1卫","顶层(共11层)","75.96㎡","暂无数据","暂无数据","板楼","东南",1983,"其他","钢混结构","集中供暖","一梯五户","70年","有",101102718513,"已购公房",2018-03-31,"普通住宅","暂无数据","非共有",2018-05-09,"2019-11-08 16:41:10.127673"
